Time t;Z Position z_t;Signal Amplitude
0;-0.00560488;-1
1e-11;-0.00560488;-0.809017
2e-11;-0.00560488;-0.309017
3e-11;-0.00560488;0.309017
4e-11;-0.00560488;0.809017
5e-11;-0.00560488;1
6e-11;-0.00560488;0.809017
7e-11;-0.00560488;0.309017
8e-11;-0.00560488;-0.309017
9e-11;-0.00560488;-0.809017
1e-10;-0.00560488;-1
1.1e-10;-0.00560488;-0.809017
1.2e-10;-0.00560488;-0.309017
1.3e-10;-0.00560488;0.309017
1.4e-10;-0.00560488;0.809017
1.5e-10;-0.00560488;1
1.6e-10;-0.00560488;0.809017
1.7e-10;-0.00560488;0.309017
1.8e-10;-0.00560488;-0.309017
1.9e-10;-0.00560488;-0.809017
2e-10;-0.00560488;-1
2.1e-10;-0.00560488;-0.809017
2.2e-10;-0.00560488;-0.309017
2.3e-10;-0.00560488;0.309017
2.4e-10;-0.00560488;0.809017
2.5e-10;-0.00560488;1
2.6e-10;-0.00560488;0.809017
2.7e-10;-0.00560488;0.309017
2.8e-10;-0.00560488;-0.309017
2.9e-10;-0.00560488;-0.809017
3e-10;-0.00560488;-1
3.1e-10;-0.00560488;-0.809017
3.2e-10;-0.00560488;-0.309017
3.3e-10;-0.00560488;0.309017
3.4e-10;-0.00560488;0.809017
3.5e-10;-0.00560488;1
3.6e-10;-0.00560488;0.809017
3.7e-10;-0.00560488;0.309017
3.8e-10;-0.00560488;-0.309017
3.9e-10;-0.00560488;-0.809017
4e-10;-0.00560488;-1
4.1e-10;-0.00560488;-0.809017
4.2e-10;-0.00560488;-0.309017
4.3e-10;-0.00560488;0.309017
4.4e-10;-0.00560488;0.809017
4.5e-10;-0.00560488;1
4.6e-10;-0.00560488;0.809017
4.7e-10;-0.00560488;0.309017
4.8e-10;-0.00560488;-0.309017
4.9e-10;-0.00560488;-0.809017
5e-10;-0.00560488;-1
5.1e-10;-0.00560488;-0.809017
5.2e-10;-0.00560488;-0.309017
5.3e-10;-0.00560488;0.309017
5.4e-10;-0.00560488;0.809017
5.5e-10;-0.00560488;1
5.6e-10;-0.00560488;0.809017
5.7e-10;-0.00560488;0.309017
5.8e-10;-0.00560488;-0.309017
5.9e-10;-0.00560488;-0.809017
6e-10;-0.00560488;-1
6.1e-10;-0.00560488;-0.809017
6.2e-10;-0.00560488;-0.309017
6.3e-10;-0.00560488;0.309017
6.4e-10;-0.00560488;0.809017
6.5e-10;-0.00560488;1
6.6e-10;-0.00560488;0.809017
6.7e-10;-0.00560488;0.309017
6.8e-10;-0.00560488;-0.309017
6.9e-10;-0.00560488;-0.809017
7e-10;-0.00560488;-1
7.1e-10;-0.00560488;-0.809017
7.2e-10;-0.00560488;-0.309017
7.3e-10;-0.00560488;0.309017
7.4e-10;-0.00560488;0.809017
7.5e-10;-0.00560488;1
7.6e-10;-0.00560488;0.809017
7.7e-10;-0.00560488;0.309017
7.8e-10;-0.00560488;-0.309017
7.9e-10;-0.00560488;-0.809017
8e-10;-0.00560488;-1
8.1e-10;-0.00560488;-0.809017
8.2e-10;-0.00560488;-0.309017
8.3e-10;-0.00560488;0.309017
8.4e-10;-0.00560488;0.809017
8.5e-10;-0.00560488;1
8.6e-10;-0.00560488;0.809017
8.7e-10;-0.00560488;0.309017
8.8e-10;-0.00560488;-0.309017
8.9e-10;-0.00560488;-0.809017
9e-10;-0.00560488;-1
