Time t;Z Position z_t;Signal Gain
0;-0.00560488;149.988
1e-11;-0.00560488;149.988
2e-11;-0.00560488;149.988
3e-11;-0.00560488;149.988
4e-11;-0.00560488;149.988
5e-11;-0.00560488;149.988
6e-11;-0.00560488;149.988
7e-11;-0.00560488;149.988
8e-11;-0.00560488;149.988
9e-11;-0.00560488;149.988
1e-10;-0.00560488;149.988
1.1e-10;-0.00560488;149.988
1.2e-10;-0.00560488;149.988
1.3e-10;-0.00560488;149.988
1.4e-10;-0.00560488;149.988
1.5e-10;-0.00560488;149.988
1.6e-10;-0.00560488;149.988
1.7e-10;-0.00560488;149.988
1.8e-10;-0.00560488;149.988
1.9e-10;-0.00560488;149.988
2e-10;-0.00560488;149.988
2.1e-10;-0.00560488;149.988
2.2e-10;-0.00560488;149.988
2.3e-10;-0.00560488;149.988
2.4e-10;-0.00560488;149.988
2.5e-10;-0.00560488;149.988
2.6e-10;-0.00560488;149.988
2.7e-10;-0.00560488;149.988
2.8e-10;-0.00560488;149.988
2.9e-10;-0.00560488;149.988
3e-10;-0.00560488;149.988
3.1e-10;-0.00560488;149.988
3.2e-10;-0.00560488;149.988
3.3e-10;-0.00560488;149.988
3.4e-10;-0.00560488;149.988
3.5e-10;-0.00560488;149.988
3.6e-10;-0.00560488;149.988
3.7e-10;-0.00560488;149.988
3.8e-10;-0.00560488;149.988
3.9e-10;-0.00560488;149.988
4e-10;-0.00560488;149.988
4.1e-10;-0.00560488;149.988
4.2e-10;-0.00560488;149.988
4.3e-10;-0.00560488;149.988
4.4e-10;-0.00560488;149.988
4.5e-10;-0.00560488;149.988
4.6e-10;-0.00560488;149.988
4.7e-10;-0.00560488;149.988
4.8e-10;-0.00560488;149.988
4.9e-10;-0.00560488;149.988
5e-10;-0.00560488;149.988
5.1e-10;-0.00560488;149.988
5.2e-10;-0.00560488;149.988
5.3e-10;-0.00560488;149.988
5.4e-10;-0.00560488;149.988
5.5e-10;-0.00560488;149.988
5.6e-10;-0.00560488;149.988
5.7e-10;-0.00560488;149.988
5.8e-10;-0.00560488;149.988
5.9e-10;-0.00560488;149.988
6e-10;-0.00560488;149.988
6.1e-10;-0.00560488;149.988
6.2e-10;-0.00560488;149.988
6.3e-10;-0.00560488;149.988
6.4e-10;-0.00560488;149.988
6.5e-10;-0.00560488;149.988
6.6e-10;-0.00560488;149.988
6.7e-10;-0.00560488;149.988
6.8e-10;-0.00560488;149.988
6.9e-10;-0.00560488;149.988
7e-10;-0.00560488;149.988
7.1e-10;-0.00560488;149.988
7.2e-10;-0.00560488;149.988
7.3e-10;-0.00560488;149.988
7.4e-10;-0.00560488;149.988
7.5e-10;-0.00560488;149.988
7.6e-10;-0.00560488;149.988
7.7e-10;-0.00560488;149.988
7.8e-10;-0.00560488;149.988
7.9e-10;-0.00560488;149.988
8e-10;-0.00560488;149.988
8.1e-10;-0.00560488;149.988
8.2e-10;-0.00560488;149.988
8.3e-10;-0.00560488;149.988
8.4e-10;-0.00560488;149.988
8.5e-10;-0.00560488;149.988
8.6e-10;-0.00560488;149.988
8.7e-10;-0.00560488;149.988
8.8e-10;-0.00560488;149.988
8.9e-10;-0.00560488;149.988
9e-10;-0.00560488;149.988
9.1e-10;-0.00560488;149.988
9.2e-10;-0.00560488;149.988
9.3e-10;-0.00560488;149.988
9.4e-10;-0.00560488;149.988
9.5e-10;-0.00560488;149.988
9.6e-10;-0.00560488;149.988
9.7e-10;-0.00560488;149.988
9.8e-10;-0.00560488;149.988
9.9e-10;-0.00560488;149.988
1e-09;-0.00560488;149.988
1.01e-09;-0.00560488;149.988
1.02e-09;-0.00560488;149.988
1.03e-09;-0.00560488;149.988
1.04e-09;-0.00560488;149.988
1.05e-09;-0.00560488;149.988
