Time t;Z Position z_t;Signal Path Loss
0;-0.00560488;299.976
1e-11;-0.00560488;299.976
2e-11;-0.00560488;299.976
3e-11;-0.00560488;299.976
4e-11;-0.00560488;299.976
5e-11;-0.00560488;299.976
6e-11;-0.00560488;299.976
7e-11;-0.00560488;299.976
8e-11;-0.00560488;299.976
9e-11;-0.00560488;299.976
1e-10;-0.00560488;299.976
1.1e-10;-0.00560488;299.976
1.2e-10;-0.00560488;299.976
1.3e-10;-0.00560488;299.976
1.4e-10;-0.00560488;299.976
1.5e-10;-0.00560488;299.976
1.6e-10;-0.00560488;299.976
1.7e-10;-0.00560488;299.976
1.8e-10;-0.00560488;299.976
1.9e-10;-0.00560488;299.976
2e-10;-0.00560488;299.976
2.1e-10;-0.00560488;299.976
2.2e-10;-0.00560488;299.976
2.3e-10;-0.00560488;299.976
2.4e-10;-0.00560488;299.976
2.5e-10;-0.00560488;299.976
2.6e-10;-0.00560488;299.976
2.7e-10;-0.00560488;299.976
2.8e-10;-0.00560488;299.976
2.9e-10;-0.00560488;299.976
3e-10;-0.00560488;299.976
3.1e-10;-0.00560488;299.976
3.2e-10;-0.00560488;299.976
3.3e-10;-0.00560488;299.976
3.4e-10;-0.00560488;299.976
3.5e-10;-0.00560488;299.976
3.6e-10;-0.00560488;299.976
3.7e-10;-0.00560488;299.976
3.8e-10;-0.00560488;299.976
3.9e-10;-0.00560488;299.976
4e-10;-0.00560488;299.976
4.1e-10;-0.00560488;299.976
4.2e-10;-0.00560488;299.976
4.3e-10;-0.00560488;299.976
4.4e-10;-0.00560488;299.976
4.5e-10;-0.00560488;299.976
4.6e-10;-0.00560488;299.976
4.7e-10;-0.00560488;299.976
4.8e-10;-0.00560488;299.976
4.9e-10;-0.00560488;299.976
5e-10;-0.00560488;299.976
5.1e-10;-0.00560488;299.976
5.2e-10;-0.00560488;299.976
5.3e-10;-0.00560488;299.976
5.4e-10;-0.00560488;299.976
5.5e-10;-0.00560488;299.976
5.6e-10;-0.00560488;299.976
5.7e-10;-0.00560488;299.976
5.8e-10;-0.00560488;299.976
5.9e-10;-0.00560488;299.976
6e-10;-0.00560488;299.976
6.1e-10;-0.00560488;299.976
6.2e-10;-0.00560488;299.976
6.3e-10;-0.00560488;299.976
6.4e-10;-0.00560488;299.976
6.5e-10;-0.00560488;299.976
6.6e-10;-0.00560488;299.976
6.7e-10;-0.00560488;299.976
6.8e-10;-0.00560488;299.976
6.9e-10;-0.00560488;299.976
7e-10;-0.00560488;299.976
7.1e-10;-0.00560488;299.976
7.2e-10;-0.00560488;299.976
7.3e-10;-0.00560488;299.976
7.4e-10;-0.00560488;299.976
7.5e-10;-0.00560488;299.976
7.6e-10;-0.00560488;299.976
7.7e-10;-0.00560488;299.976
7.8e-10;-0.00560488;299.976
7.9e-10;-0.00560488;299.976
8e-10;-0.00560488;299.976
8.1e-10;-0.00560488;299.976
8.2e-10;-0.00560488;299.976
8.3e-10;-0.00560488;299.976
8.4e-10;-0.00560488;299.976
8.5e-10;-0.00560488;299.976
8.6e-10;-0.00560488;299.976
8.7e-10;-0.00560488;299.976
8.8e-10;-0.00560488;299.976
8.9e-10;-0.00560488;299.976
9e-10;-0.00560488;299.976
9.1e-10;-0.00560488;299.976
9.2e-10;-0.00560488;299.976
9.3e-10;-0.00560488;299.976
9.4e-10;-0.00560488;299.976
9.5e-10;-0.00560488;299.976
9.6e-10;-0.00560488;299.976
9.7e-10;-0.00560488;299.976
9.8e-10;-0.00560488;299.976
9.9e-10;-0.00560488;299.976
1e-09;-0.00560488;299.976
1.01e-09;-0.00560488;299.976
1.02e-09;-0.00560488;299.976
1.03e-09;-0.00560488;299.976
1.04e-09;-0.00560488;299.976
1.05e-09;-0.00560488;299.976
1.06e-09;-0.00560488;299.976
1.07e-09;-0.00560488;299.976
1.08e-09;-0.00560488;299.976
1.09e-09;-0.00560488;299.976
1.1e-09;-0.00560488;299.976
1.11e-09;-0.00560488;299.976
1.12e-09;-0.00560488;299.976
1.13e-09;-0.00560488;299.976
1.14e-09;-0.00560488;299.976
1.15e-09;-0.00560488;299.976
1.16e-09;-0.00560488;299.976
1.17e-09;-0.00560488;299.976
1.18e-09;-0.00560488;299.976
1.19e-09;-0.00560488;299.976
1.2e-09;-0.00560488;299.976
1.21e-09;-0.00560488;299.976
1.22e-09;-0.00560488;299.976
1.23e-09;-0.00560488;299.976
1.24e-09;-0.00560488;299.976
1.25e-09;-0.00560488;299.976
1.26e-09;-0.00560488;299.976
1.27e-09;-0.00560488;299.976
1.28e-09;-0.00560488;299.976
1.29e-09;-0.00560488;299.976
1.3e-09;-0.00560488;299.976
1.31e-09;-0.00560488;299.976
1.32e-09;-0.00560488;299.976
1.33e-09;-0.00560488;299.976
1.34e-09;-0.00560488;299.976
1.35e-09;-0.00560488;299.976
1.36e-09;-0.00560488;299.976
1.37e-09;-0.00560488;299.976
1.38e-09;-0.00560488;299.976
1.39e-09;-0.00560488;299.976
1.4e-09;-0.00560488;299.976
1.41e-09;-0.00560488;299.976
1.42e-09;-0.00560488;299.976
1.43e-09;-0.00560488;299.976
1.44e-09;-0.00560488;299.976
1.45e-09;-0.00560488;299.976
1.46e-09;-0.00560488;299.976
1.47e-09;-0.00560488;299.976
1.48e-09;-0.00560488;299.976
1.49e-09;-0.00560488;299.976
1.5e-09;-0.00560488;299.976
1.51e-09;-0.00560488;299.976
1.52e-09;-0.00560488;299.976
1.53e-09;-0.00560488;299.976
1.54e-09;-0.00560488;299.976
1.55e-09;-0.00560488;299.976
1.56e-09;-0.00560488;299.976
1.57e-09;-0.00560488;299.976
1.58e-09;-0.00560488;299.976
1.59e-09;-0.00560488;299.976
1.6e-09;-0.00560488;299.976
1.61e-09;-0.00560488;299.976
1.62e-09;-0.00560488;299.976
1.63e-09;-0.00560488;299.976
1.64e-09;-0.00560488;299.976
1.65e-09;-0.00560488;299.976
1.66e-09;-0.00560488;299.976
1.67e-09;-0.00560488;299.976
1.68e-09;-0.00560488;299.976
1.69e-09;-0.00560488;299.976
1.7e-09;-0.00560488;299.976
1.71e-09;-0.00560488;299.976
1.72e-09;-0.00560488;299.976
1.73e-09;-0.00560488;299.976
1.74e-09;-0.00560488;299.976
1.75e-09;-0.00560488;299.976
1.76e-09;-0.00560488;299.976
