Time t;Signal Gain
0;39.0112
3.09839e-05;39.0112
6.19677e-05;39.0112
9.29516e-05;39.0111
0.000123935;39.0111
0.000154919;39.0111
0.000185903;39.011
0.000216887;39.011
0.000247871;39.0109
0.000278855;39.0109
0.000309839;39.0108
0.000340823;39.0107
0.000371806;39.0106
0.00040279;39.0105
0.000433774;39.0104
0.000464758;39.0103
0.000495742;39.0102
0.000526726;39.0101
0.00055771;39.01
0.000588693;39.0098
0.000619677;39.0097
0.000650661;39.0095
0.000681645;39.0094
0.000712629;39.0092
0.000743613;39.009
0.000774597;39.0089
0.000805581;39.0087
0.000836564;39.0085
0.000867548;39.0083
0.000898532;39.0081
0.000929516;39.0078
0.0009605;39.0076
0.000991484;39.0074
0.00102247;39.0072
0.00105345;39.0069
0.00108444;39.0067
0.00111542;39.0064
0.0011464;39.0061
0.00117739;39.0059
0.00120837;39.0056
0.00123935;39.0053
0.00127034;39.005
0.00130132;39.0047
0.00133231;39.0044
0.00136329;39.0041
0.00139427;39.0037
0.00142526;39.0034
0.00145624;39.0031
0.00148723;39.0027
0.00151821;39.0024
0.00154919;39.002
0.00158018;39.0016
0.00161116;39.0013
0.00164214;39.0009
0.00167313;39.0005
0.00170411;39.0001
0.0017351;38.9997
0.00176608;38.9993
0.00179706;38.9989
0.00182805;38.9984
0.00185903;38.998
0.00189002;38.9976
0.001921;38.9971
0.00195198;38.9967
0.00198297;38.9962
0.00201395;38.9957
0.00204494;38.9953
0.00207592;38.9948
0.0021069;38.9943
0.00213789;38.9938
0.00216887;38.9933
0.00219985;38.9928
0.00223084;38.9923
0.00226182;38.9918
0.00229281;38.9912
0.00232379;38.9907
0.00235477;38.9902
0.00238576;38.9896
0.00241674;38.989
0.00244773;38.9885
0.00247871;38.9879
0.00250969;38.9873
0.00254068;38.9868
0.00257166;38.9862
0.00260264;38.9856
0.00263363;38.985
0.00266461;38.9844
0.0026956;38.9837
0.00272658;38.9831
0.00275756;38.9825
0.00278855;38.9818
0.00281953;38.9812
0.00285052;38.9805
0.0028815;38.9799
0.00291248;38.9792
0.00294347;38.9786
0.00297445;38.9779
0.00300544;38.9772
0.00303642;38.9765
0.0030674;38.9758
0.00309839;38.9751
0.00312937;38.9744
0.00316035;38.9737
0.00319134;38.9729
0.00322232;38.9722
0.00325331;38.9715
0.00328429;38.9707
0.00331527;38.97
0.00334626;38.9692
0.00337724;38.9685
0.00340823;38.9677
0.00343921;38.9669
0.00347019;38.9661
0.00350118;38.9653
0.00353216;38.9645
0.00356314;38.9637
0.00359413;38.9629
0.00362511;38.9621
0.0036561;38.9613
0.00368708;38.9605
0.00371806;38.9596
0.00374905;38.9588
0.00378003;38.9579
0.00381102;38.9571
0.003842;38.9562
0.00387298;38.9553
0.00390397;38.9545
0.00393495;38.9536
0.00396593;38.9527
0.00399692;38.9518
0.0040279;38.9509
0.00405889;38.95
0.00408987;38.9491
0.00412085;38.9482
0.00415184;38.9472
0.00418282;38.9463
0.00421381;38.9454
0.00424479;38.9444
0.00427577;38.9435
0.00430676;38.9425
0.00433774;38.9416
0.00436873;38.9406
0.00439971;38.9396
