Time t;Signal Amplitude
0;-1
3.09839e-05;-0.994867
6.19677e-05;-0.979519
9.29516e-05;-0.954116
0.000123935;-0.918916
0.000154919;-0.874283
0.000185903;-0.820673
0.000216887;-0.758638
0.000247871;-0.688814
0.000278855;-0.611918
0.000309839;-0.52874
0.000340823;-0.440134
0.000371806;-0.347008
0.00040279;-0.250321
0.000433774;-0.151063
0.000464758;-0.050254
0.000495742;0.0510707
0.000526726;0.151871
0.00055771;0.251112
0.000588693;0.347775
0.000619677;0.440868
0.000650661;0.529434
0.000681645;0.612565
0.000712629;0.689407
0.000743613;0.75917
0.000774597;0.82114
0.000805581;0.874679
0.000836564;0.919238
0.000867548;0.95436
0.000898532;0.979684
0.000929516;0.994949
0.0009605;1
0.000991484;0.994784
0.00102247;0.979354
0.00105345;0.95387
0.00108444;0.918593
0.00111542;0.873885
0.0011464;0.820206
0.00117739;0.758105
0.00120837;0.688221
0.00123935;0.611271
0.00127034;0.528046
0.00130132;0.439399
0.00133231;0.346241
0.00136329;0.249529
0.00139427;0.150254
0.00142526;0.0494373
0.00145624;-0.0518873
0.00148723;-0.152679
0.00151821;-0.251904
0.00154919;-0.348542
0.00158018;-0.441602
0.00161116;-0.530128
0.00164214;-0.613211
0.00167313;-0.689999
0.00170411;-0.759702
0.0017351;-0.821606
0.00176608;-0.875075
0.00179706;-0.91956
0.00182805;-0.954604
0.00185903;-0.979847
0.00189002;-0.995031
0.001921;-0.999999
0.00195198;-0.9947
0.00198297;-0.979189
0.00201395;-0.953625
0.00204494;-0.91827
0.00207592;-0.873488
0.0021069;-0.819737
0.00213789;-0.757571
0.00216887;-0.687627
0.00219985;-0.610624
0.00223084;-0.527351
0.00226182;-0.438665
0.00229281;-0.345474
0.00232379;-0.248737
0.00235477;-0.149446
0.00238576;-0.0486206
0.00241674;0.0527039
0.00244773;0.153487
0.00247871;0.252695
0.00250969;0.349308
0.00254068;0.442335
0.00257166;0.530821
0.00260264;0.613857
0.00263363;0.69059
0.00266461;0.760234
0.0026956;0.822072
0.00272658;0.875471
0.00275756;0.919881
0.00278855;0.954847
0.00281953;0.98001
0.00285052;0.995112
0.0028815;0.999997
0.00291248;0.994615
0.00294347;0.979022
0.00297445;0.953378
0.00300544;0.917946
0.00303642;0.873089
0.0030674;0.819269
0.00309839;-0.757037
0.00312937;-0.687034
0.00316035;-0.609976
0.00319134;-0.526656
0.00322232;-0.43793
0.00325331;-0.344707
0.00328429;-0.247945
0.00331527;-0.148637
0.00334626;-0.0478039
0.00337724;0.0535204
0.00340823;0.154295
0.00343921;0.253486
0.00347019;0.350074
0.00350118;0.443068
0.00353216;0.531514
0.00356314;0.614502
0.00359413;0.691181
0.00362511;0.760765
0.0036561;0.822538
0.00368708;0.875866
0.00371806;0.920201
0.00374905;0.95509
0.00378003;0.980173
0.00381102;0.995192
0.003842;0.999995
0.00387298;0.99453
0.00390397;0.978856
0.00393495;0.953131
0.00396593;0.917621
0.00399692;0.87269
0.0040279;0.8188
0.00405889;0.756503
0.00408987;0.686439
0.00412085;0.609328
0.00415184;0.525961
0.00418282;0.437194
0.00421381;0.343939
0.00424479;0.247153
0.00427577;0.147829
0.00430676;0.0469871
0.00433774;-0.0543369
0.00436873;-0.155103
0.00439971;-0.254277
0.00443069;-0.35084
0.00446168;-0.443801
0.00449266;-0.532206
0.00452364;-0.615147
0.00455463;-0.691772
0.00458561;-0.761295
0.0046166;-0.823002
0.00464758;-0.87626
0.00467856;-0.920521
0.00470955;-0.955332
0.00474053;-0.980334
0.00477152;-0.995272
0.0048025;-0.999992
0.00483348;-0.994445
0.00486447;-0.978688
0.00489545;-0.952883
0.00492643;-0.917296
0.00495742;-0.872291
0.0049884;-0.81833
0.00501939;-0.755968
0.00505037;-0.685844
0.00508135;-0.608679
0.00511234;-0.525265
0.00514332;-0.436459
0.00517431;-0.343171
0.00520529;-0.24636
0.00523627;-0.14702
0.00526726;-0.0461703
0.00529824;0.0551534
0.00532923;0.155911
0.00536021;0.255068
0.00539119;0.351606
0.00542218;0.444534
0.00545316;0.532898
0.00548414;0.615791
0.00551513;0.692362
0.00554611;0.761825
0.0055771;0.823467
0.00560808;0.876654
0.00563906;0.92084
0.00567005;0.955573
0.00570103;0.980495
0.00573202;0.995351
0.005763;0.999988
0.00579398;0.994358
0.00582497;0.97852
0.00585595;0.952635
0.00588693;0.91697
0.00591792;0.871891
0.0059489;0.81786
0.00597989;0.755432
0.00601087;0.685249
0.00604185;0.60803
0.00607284;0.52457
0.00610382;0.435723
0.00613481;0.342403
0.00616579;0.245568
0.00619677;0.146211
0.00622776;0.0453534
0.00625874;-0.0559698
0.00628972;-0.156718
0.00632071;-0.255858
0.00635169;-0.352371
0.00638268;-0.445266
0.00641366;-0.53359
0.00644464;-0.616435
0.00647563;-0.692952
0.00650661;-0.762355
0.0065376;-0.82393
0.00656858;-0.877047
0.00659956;-0.921159
0.00663055;-0.955814
0.00666153;-0.980656
0.00669252;-0.99543
0.0067235;-0.999984
0.00675448;-0.994271
0.00678547;-0.978351
0.00681645;-0.952386
0.00684743;-0.916643
0.00687842;-0.87149
0.0069094;-0.817389
